NAME,PER,A,R,FIRSTREF,FIRSTURL,COMP,STAR
KOI 1175.02,17,0.133,1.6500000000056938,,,02,KOI 1175
KOI 1096.01,414,1.062,10.300000000035544,,,01,KOI 1096
KOI 1187.01,0.3705294,0.01,3.800000000013113,,,01,KOI 1187
Kepler-42 c,0.45328509,0.00585017,0.7293481999968643,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,c,Kepler-42
KOI 2763.01,0.49843,0.011,1.080000000003727,,,01,KOI 2763
KOI 2306.01,0.512404,0.01,0.9400000000032437,,,01,KOI 2306
KOI 1013.01,0.5187486,0.012,2.6000000000089725,,,01,KOI 1013
KOI 4002.01,0.5241781,0.0116952,1.830000000006315,,,01,KOI 4002
KOI 1875.02,0.5383607,0.0129796,1.4200000000049,,,02,KOI 1875
KOI 4199.01,0.539926,0.0121603,1.2300000000042446,,,01,KOI 4199
KOI 2735.01,0.5588413,0.012,1.500000000005176,,,01,KOI 2735
KOI 672.03,0.566869,0.013,0.550000000001898,,,03,KOI 672
KOI 1367.01,0.5678562,0.012,1.4100000000048654,,,01,KOI 1367
KOI 2699.01,0.56888,0.013,1.560000000005383,,,01,KOI 2699
KOI 2119.01,0.5710391,0.012,1.3100000000045207,,,01,KOI 2119
KOI 3204.01,0.5729298,0.013503,0.6400000000022085,,,01,KOI 3204
KOI 2409.01,0.5773752,0.013,1.6300000000056247,,,01,KOI 2409
KOI 3913.01,0.5829106,0.0141982,2.4200000000083506,,,01,KOI 3913
KOI 2347.01,0.5879933,0.011,1.0100000000034854,,,01,KOI 2347
KOI 4595.01,0.597031,0.0127964,1.9000000000065564,,,01,KOI 4595
KOI 4325.01,0.609944,0.0140636,1.2700000000043825,,,01,KOI 4325
KOI 2269.01,0.6140747,0.015,2.120000000007316,,,01,KOI 2269
KOI 2250.02,0.6262814,0.0135901,2.4200000000083506,,,02,KOI 2250
KOI 1300.01,0.6313298,0.012,1.3400000000046242,,,01,KOI 1300
KOI 2817.01,0.6340066,0.014,1.6700000000057627,,,01,KOI 2817
KOI 4109.01,0.6559569,0.0143839,2.770000000009559,,,01,KOI 4109
KOI 2493.01,0.6630983,0.014,1.320000000004555,,,01,KOI 2493
KOI 2589.01,0.6640818,0.014,1.2100000000041753,,,01,KOI 2589
KOI 2756.01,0.66502,0.015,1.4200000000049,,,01,KOI 2756
KOI 1442.01,0.6693356,0.015,1.2300000000042446,,,01,KOI 1442
KOI 2852.01,0.67565,0.015,2.310000000007972,,,01,KOI 2852
KOI 1150.01,0.6773911,0.015,1.100000000003796,,,01,KOI 1150
KOI 2668.01,0.6793614,0.015,1.3300000000045897,,,01,KOI 2668
KOI 1169.01,0.689204,0.016,1.4900000000051417,,,01,KOI 1169
KOI 3246.01,0.6899778,0.013396,0.8400000000028985,,,01,KOI 3246
KOI 1459.01,0.6920069,0.013,4.120000000014217,,,01,KOI 1459
KOI 4072.01,0.6929743,0.0156013,0.9600000000033129,,,01,KOI 4072
KOI 2079.01,0.6938521,0.014,0.6600000000022775,,,01,KOI 2079
KOI 2813.01,0.69846,0.014,1.3000000000044862,,,01,KOI 2813
KOI 4207.01,0.701965,0.0129252,1.200000000004141,,,01,KOI 4207
KOI 191.03,0.7085982,0.015,1.240000000004279,,,03,KOI 191
KOI 2542.01,0.727315,0.013,1.0200000000035199,,,01,KOI 2542
Kepler-32 f,0.74296,0.0130732,0.8192677643185274,Fabrycky 2012,http://adsabs.harvard.edu/abs/2012ApJ...750..114F,f,Kepler-32
KOI 2607.01,0.7544552,0.016,1.4600000000050382,,,01,KOI 2607
KOI 2248.03,0.761948,0.015,1.0500000000036234,,,03,KOI 2248
KOI 2039.02,0.762145,0.0159059,0.8100000000027953,,,02,KOI 2039
KOI 4366.01,0.762948,0.0160223,1.9000000000065564,,,01,KOI 4366
KOI 1360.03,0.76402,0.015,0.7800000000026915,,,03,KOI 1360
KOI 2281.01,0.7698541,0.015,0.8400000000028985,,,01,KOI 2281
KOI 4812.01,0.779637,0.016273,0.8000000000027607,,,01,KOI 4812
KOI 1239.01,0.7832832,0.017,1.3900000000047965,,,01,KOI 1239
KOI 1662.01,0.7840262,0.016,1.6300000000056247,,,01,KOI 1662
KOI 1812.01,0.80526304,0.018,4.800000000016564,,,01,KOI 1812
KOI 2202.01,0.8131804,0.016,1.040000000003589,,,01,KOI 2202
KOI 2771.01,0.8142836,0.018,1.680000000005797,,,01,KOI 2771
KOI 2571.01,0.8262695,0.016,0.9700000000033472,,,01,KOI 2571
KOI 2548.01,0.827166,0.016,0.9300000000032093,,,01,KOI 2548
Kepler-10 b,0.837495,0.0167573,1.4159969087972906,Batalha 2011,http://adsabs.harvard.edu/abs/2011ApJ...729...27B,b,Kepler-10
KOI 225.01,0.83859769,0.018,50.00000000017254,,,01,KOI 225
KOI 1510.01,0.83995,0.016,1.4700000000050728,,,01,KOI 1510
KOI 1499.02,0.840649,0.016,0.6600000000022775,,,02,KOI 1499
KOI 2694.01,0.8433793,0.015,1.500000000005176,,,01,KOI 2694
KOI 4268.01,0.84992,0.0150017,1.3000000000044862,,,01,KOI 4268
KOI 3089.01,0.85857,0.017,1.6900000000058317,,,01,KOI 3089
KOI 2797.01,0.8681303,0.018,1.9100000000065909,,,01,KOI 2797
KOI 2708.01,0.8683881,0.016,1.6900000000058317,,,01,KOI 2708
KOI 1762.01,0.870697,0.018,2.230000000007695,,,01,KOI 1762
KOI 2886.01,0.88183,0.018,2.0000000000069016,,,01,KOI 2886
KOI 936.02,0.8930477,0.015,1.4700000000050728,,,02,KOI 936
KOI 3065.01,0.8963702,0.018,1.9200000000066257,,,01,KOI 3065
