NAME,PER,A,R,FIRSTREF,FIRSTURL,COMP,STAR
Kepler-42 c,0.45328509,0.00585017,0.7293481999968643,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,c,Kepler-42
55 Cnc e,0.736546,0.0154393,2.079994509336636,McArthur 2004,http://adsabs.harvard.edu/abs/2004ApJ...614L..81M,e,55 Cnc
Kepler-32 f,0.74296,0.0130732,0.8192677643185274,Fabrycky 2012,http://adsabs.harvard.edu/abs/2012ApJ...750..114F,f,Kepler-32
WASP-19 b,0.78884,0.0163152,15.535647293081011,Hebb 2010,http://adsabs.harvard.edu/abs/2010ApJ...708..224H,b,WASP-19
WASP-43 b,0.813475,0.0142363,10.424352079772973,Hellier 2011,http://adsabs.harvard.edu/abs/2011A%26A...535L...7H,b,WASP-43
Kepler-10 b,0.837495,0.0167573,1.4159969087972906,Batalha 2011,http://adsabs.harvard.edu/abs/2011ApJ...729...27B,b,Kepler-10
CoRoT-7 b,0.853585,0.0171897,1.6791053134946141,Queloz 2009 ; Leger 2009,http://adsabs.harvard.edu/abs/2009A%26A...506..303Q ; http://adsabs.harvard.edu/abs/2009A%26A...506..287L,b,CoRoT-7
WASP-18 b,0.9414529,0.0201401,14.201778586099309,Hellier 2009,http://adsabs.harvard.edu/abs/2009Natur.460.1098H,b,WASP-18
WASP-12 b,1.09142245,0.0225329,20.06407550838024,Hebb 2009,http://adsabs.harvard.edu/abs/2009ApJ...693.1920H,b,WASP-12
OGLE-TR-56 b,1.2119189,0.0238309,15.277840736269422,Konacki 2003,http://adsabs.harvard.edu/abs/2003Natur.421..507K,b,OGLE-TR-56
HAT-P-23 b,1.212884,0.0231971,15.333885639924114,Bakos 2011,http://adsabs.harvard.edu/abs/2011ApJ...742..116B,b,HAT-P-23
Kepler-42 b,1.2137672,0.0112809,0.7793032644204386,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,b,Kepler-42
WASP-33 b,1.21986983,0.0255483,16.779844154215205,Christian 2006,http://adsabs.harvard.edu/abs/2006MNRAS.372.1117C,b,WASP-33
TrES-3 b,1.30618581,0.0227178,14.975198256534076,O'Donovan 2007,http://adsabs.harvard.edu/abs/2007ApJ...663L..37O,b,TrES-3
HAT-P-36 b,1.327347,0.0238229,14.168151643906493,Bakos 2012,http://adsabs.harvard.edu/abs/2012AJ....144...19B,b,HAT-P-36
HD 41004 B b,1.3283,0.0176759,,Zucker 2004,http://adsabs.harvard.edu/abs/2004A%26A...426..695Z,b,HD 41004 B
Qatar-2 b,1.3371182,0.0215077,12.823073956193848,Bryan 2012,http://adsabs.harvard.edu/abs/2012ApJ...750...84B,b,Qatar-2
WASP-4 b,1.3382299,0.0230406,15.03124316018877,Wilson 2008,http://adsabs.harvard.edu/abs/2008ApJ...675L.113W,b,WASP-4
WASP-77 A b,1.3600309,0.0240406,13.562866684435804,Maxted 2013,http://adsabs.harvard.edu/abs/2013PASP..125...48M,b,WASP-77 A
Qatar-1 b,1.420033,0.0234308,13.047253570812622,Alsubai 2011,http://adsabs.harvard.edu/abs/2011MNRAS.417..709A,b,Qatar-1
OGLE-TR-113 b,1.4324752,0.0228946,12.251415938915978,Konacki 2004; Bouchy 2004,http://adsabs.harvard.edu/abs/2004ApJ...609L..37K ; http://adsabs.harvard.edu/abs/2004A%26A...421L..13B,b,OGLE-TR-113
WASP-46 b,1.43037,0.0244921,14.683764757529671,Anderson 2012,http://adsabs.harvard.edu/abs/2012MNRAS.422.1988A,b,WASP-46
TrES-5 b,1.4822446,0.0245157,13.551657703704864,Mandushev 2011,http://adsabs.harvard.edu/abs/2011ApJ...741..114M,b,TrES-5
Kepler-17 b,1.4857108,0.0267923,14.907944372148444,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,b,Kepler-17
CoRoT-1 b,1.5089557,0.0253191,16.701381289098634,Barge 2008,http://adsabs.harvard.edu/abs/2008A%26A...482L..17B,b,CoRoT-1
CoRoT-14 b,1.51214,0.0269122,12.217788996723163,Tingley 2011,http://adsabs.harvard.edu/abs/2011A%26A...528A..97T,b,CoRoT-14
WASP-36 b,1.5373653,0.0262601,14.224196547561185,Smith 2012,http://adsabs.harvard.edu/abs/2012AJ....143...81S,b,WASP-36
WASP-64 b,1.5732918,0.0265195,14.246614509023063,Gillon 2013,http://adsabs.harvard.edu/abs/2013A%26A...552A..82G,b,WASP-64
GJ 1214 b,1.58040482,0.0143253,2.6778254966212507,Charbonneau 2009,http://adsabs.harvard.edu/abs/2009Natur.462..891C,b,GJ 1214
Kepler-9 d,1.592851,0.0266925,1.639997179724369,Holman 2010,http://adsabs.harvard.edu/abs/2010Sci...330...51H,d,Kepler-9
WASP-5 b,1.6284229,0.0271923,12.778238033270094,Anderson 2008,http://adsabs.harvard.edu/abs/2008MNRAS.387L...4A,b,WASP-5
OGLE-TR-132 b,1.689868,0.0303507,13.450776877126417,Bouchy 2004,http://adsabs.harvard.edu/abs/2004A%26A...421L..13B,b,OGLE-TR-132
