NAME,PER,A,R,FIRSTREF,FIRSTURL,COMP,STAR
MOA-2010-BLG-477L b,,,,Bachelet 2012,http://adsabs.harvard.edu/abs/2012ApJ...754...73B,b,MOA-2010-BLG-477L
OGLE235-MOA53 b,,,,Bond 2004,http://adsabs.harvard.edu/abs/2004ApJ...606L.155B,b,OGLE235-MOA53
OGLE-2007-BLG-368L b,,,,Sumi 2010,http://adsabs.harvard.edu/abs/2010ApJ...710.1641S,b,OGLE-2007-BLG-368L
OGLE-2011-BLG-0251 b,,,,Kains 2013,http://adsabs.harvard.edu/abs/2013A%26A...552A..70K,b,OGLE-2011-BLG-0251
MOA-2009-BLG-266L b,,,,Donnison 2010,http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2966.2010...x/pdf,b,MOA-2009-BLG-266L
MOA-2007-BLG-192L b,,,,Bennett 2008,http://adsabs.harvard.edu/abs/2008AAS...212.1012B,b,MOA-2007-BLG-192L
MOA-bin-1L b,,,,Bennett 2012,http://adsabs.harvard.edu/abs/2012ApJ...757..119B,b,MOA-bin-1L
MOA-2007-BLG-400L b,,,,Dong 2009,http://adsabs.harvard.edu/abs/2009ApJ...698.1826D,b,MOA-2007-BLG-400L
MOA-2010-BLG-073L b,,,,Street 2013,http://adsabs.harvard.edu/abs/2013ApJ...763...67S,b,MOA-2010-BLG-073L
MOA-2008-BLG-310L b,,,,Janczak 2010,http://adsabs.harvard.edu/abs/2010ApJ...711..731J,b,MOA-2008-BLG-310L
MOA-2011-BLG-293L b,,,,Yee 2012,http://adsabs.harvard.edu/abs/2012ApJ...755..102Y,b,MOA-2011-BLG-293L
MOA-2009-BLG-319L b,,,,Miyake 2011,http://adsabs.harvard.edu/abs/2011ApJ...728..120M,b,MOA-2009-BLG-319L
OGLE-2006-BLG-109L b,1789.72,2.30586,,Gaudi 2008,http://adsabs.harvard.edu/abs/2008Sci...319..927G,b,OGLE-2006-BLG-109L
MOA-2009-BLG-387L b,1970,1.76808,,Batista 2011,http://adsabs.harvard.edu/abs/2011A%26A...529A.102B,b,MOA-2009-BLG-387L
OGLE-05-169L b,3300,3.41991,,Gould 2006,http://adsabs.harvard.edu/abs/2006ApJ...644L..37G,b,OGLE-05-169L
OGLE-05-390L b,3500,2.72349,,Beaulieu 2006,http://adsabs.harvard.edu/abs/2006Natur.439..437B,b,OGLE-05-390L
OGLE-05-071L b,3600,3.54863,,Udalski 2005,http://adsabs.harvard.edu/abs/2005ApJ...628L.109U,b,OGLE-05-071L
OGLE-2006-BLG-109L c,5405.7,4.8168,,Gaudi 2008,http://adsabs.harvard.edu/abs/2008Sci...319..927G,c,OGLE-2006-BLG-109L
beta Pic b,7159,8.76034,,Lagrange 2009,http://adsabs.harvard.edu/abs/2009A%26A...493L..21L,b,beta Pic
HR 8799 e,16422,14.5253,,Marois 2010,http://adsabs.harvard.edu/abs/2010Natur.468.1080M,e,HR 8799
HR 8799 d,41054,26.7553,15.356303601385992,Marois 2008,http://adsabs.harvard.edu/abs/2008Sci...322.1348M,d,HR 8799
HR 8799 c,82145,42.4842,13.450776877126417,Marois 2008,http://adsabs.harvard.edu/abs/2008Sci...322.1348M,c,HR 8799
HR 8799 b,164253,67.4293,13.450776877126417,Marois 2008,http://adsabs.harvard.edu/abs/2008Sci...322.1348M,b,HR 8799
Fomalhaut b,318498,113.443,13.450776877126417,Kalas 2008,http://adsabs.harvard.edu/abs/2008Sci...322.1345K,b,Fomalhaut
